Name,Program Identifier,Inspection Date,Description,Address,City,Zip Code,Phone,Longitude,Latitude,Inspection Business Name,Inspection Type,Inspection Score,Inspection Result,Inspection Closed Business,Violation Type,Violation Description,Violation Points,Business_ID,Inspection_Serial_Num,Violation_Record_ID,Location
10 MERCER RESTAURANT,10 MERCER RESTAURANT,02/24/2016,Seating 13-50 - Risk Category III,10 MERCER ST,Seattle,98109,,-122.3561914741,47.6250635431,10 MERCER RESTAURANT,Routine Inspection/Field Review,15,Unsatisfactory,false,blue,"4200 - Food-contact surfaces maintained, clean, sanitized",5,PR0049572,DAHS37PNS,IVSDCSC2L,
10 MERCER RESTAURANT,10 MERCER RESTAURANT,02/24/2016,Seating 13-50 - Risk Category III,10 MERCER ST,Seattle,98109,,-122.3561914741,47.6250635431,10 MERCER RESTAURANT,Routine Inspection/Field Review,15,Unsatisfactory,false,red,"2500 - Toxic substances properly identified,...",10,PR0049572,DAHS37PNS,IVLA9OQM1,
10 MERCER RESTAURANT,10 MERCER RESTAURANT,09/30/2015,Seating 13-50 - Risk Category III,10 MERCER ST,Seattle,98109,,-122.3561914741,47.6250635431,10 MERCER RESTAURANT,Routine Inspection/Field Review,25,Unsatisfactory,false,red,1600 - Proper cooling procedure,25,PR0049572,DAB0N1N4G,IVUTC1IOA,
10 MERCER RESTAURANT,10 MERCER RESTAURANT,05/07/2015,Seating 13-50 - Risk Category III,10 MERCER ST,Seattle,98109,,-122.3561914741,47.6250635431,10 MERCER RESTAURANT,Consultation/Education - Field,0,Complete,false,,,0,PR0049572,DALSBVOA0,,
10 MERCER RESTAURANT,10 MERCER RESTAURANT,01/22/2015,Seating 13-50 - Risk Category III,10 MERCER ST,Seattle,98109,,-122.3561914741,47.6250635431,10 MERCER RESTAURANT,Routine Inspection/Field Review,35,Unsatisfactory,false,blue,"3400 - Wiping cloths properly used, stored, proper sanitizer",5,PR0049572,DAAQWFDUE,IVZB18PCJ,
10 MERCER RESTAURANT,10 MERCER RESTAURANT,01/22/2015,Seating 13-50 - Risk Category III,10 MERCER ST,Seattle,98109,,-122.3561914741,47.6250635431,10 MERCER RESTAURANT,Routine Inspection/Field Review,35,Unsatisfactory,false,red,2120 - Proper cold holding temperatures ( 42 degrees F to 45 degrees F),5,PR0049572,DAAQWFDUE,IVM5FHZTZ,
10 MERCER RESTAURANT,10 MERCER RESTAURANT,01/22/2015,Seating 13-50 - Risk Category III,10 MERCER ST,Seattle,98109,,-122.3561914741,47.6250635431,10 MERCER RESTAURANT,Routine Inspection/Field Review,35,Unsatisfactory,false,red,1600 - Proper cooling procedure,25,PR0049572,DAAQWFDUE,IVP9QQ5VM,
10 MERCER RESTAURANT,10 MERCER RESTAURANT,10/13/2014,Seating 13-50 - Risk Category III,10 MERCER ST,Seattle,98109,,-122.3561914741,47.6250635431,10 MERCER RESTAURANT,Routine Inspection/Field Review,15,Unsatisfactory,false,blue,"4200 - Food-contact surfaces maintained, clean, sanitized",5,PR0049572,DAXVNCBJE,IVGUWCTOT,
10 MERCER RESTAURANT,10 MERCER RESTAURANT,10/13/2014,Seating 13-50 - Risk Category III,10 MERCER ST,Seattle,98109,,-122.3561914741,47.6250635431,10 MERCER RESTAURANT,Routine Inspection/Field Review,15,Unsatisfactory,false,red,0600 - Adequate handwashing facilities,10,PR0049572,DAXVNCBJE,IVTJL0B80,
10 MERCER RESTAURANT,10 MERCER RESTAURANT,07/24/2014,Seating 13-50 - Risk Category III,10 MERCER ST,Seattle,98109,,-122.3561914741,47.6250635431,10 MERCER RESTAURANT,Consultation/Education - Field,0,Complete,false,,,0,PR0049572,DAYNHEAFM,,
